Código do Cliente,Tipo de Negócio,Cidade,Estado,Solicitacao de Cadastro,Data de Conclusao da análise do time A,Status da Análise do Time A,Analista do time A
41585940,10,Fonte Boa,Amazonas,2020-12-20 18:00:00.000,2020-12-24 14:48:45,Suspeito,Vivian
91507664,4,Pelotas,Rio Grande do Sul,2021-01-23 18:00:00.000,2021-01-24 09:58:47,Suspeito,Marina
222277883,1,São Paulo,São Paulo,2020-12-25 18:00:00.000,2020-12-27 14:39:20,Suspeito,Marcos
28384367,10,Cascavel,Paraná,2021-01-23 17:57:44.570,2021-01-23 18:00:00,Suspeito,Marcos
50270017,9,Águia Branca,Espírito Santo,2020-11-08 18:00:00.000,2020-11-13 16:34:31,Suspeito,Marina
70895774,6,Fortaleza,Ceará,2021-01-07 18:00:00.000,2021-01-08 09:15:28,Suspeito,Marina
45066530,3,Tailândia,Pará,2020-12-21 09:00:00.000,2020-12-24 14:50:44,Suspeito,Vivian
32081380,5,Parnamirim,Rio Grande do Norte,2021-01-03 09:00:00.000,2021-01-03 10:00:25,Suspeito,Marina
25317650,2,São Paulo,São Paulo,2020-12-25 14:05:28.880,2020-12-27 14:40:46,Suspeito,Marcos
50520335,4,Fortaleza,Ceará,2021-07-11 17:16:17.280,2021-07-12 10:41:50,Suspeito,Marcos
39503054,7,Flores do Piauí,Piauí,2021-01-14 14:43:37.240,2021-01-14 15:16:13,Suspeito,Marina
44675951,2,Santa Helena,Maranhão,2020-12-25 10:49:47.450,2020-12-25 17:52:08,Suspeito,Marcos
42245722,3,Nova Andradina,Mato Grosso do Sul,2021-01-21 09:00:00.000,2021-01-21 09:45:55,Suspeito,Marcos
43845530,7,Miraí,Minas Gerais,2021-07-08 18:00:00.000,2021-07-09 18:00:00,Suspeito,Maria
233764659,2,Russas,Ceará,2021-01-17 09:00:10.327,2021-01-17 09:35:44,Suspeito,Marcos
36473243,3,Mantena,Minas Gerais,2021-01-11 10:27:23.230,2021-01-11 14:03:36,Suspeito,Marina
119790821,6,Floresta do Araguaia,Pará,2020-12-20 10:51:21.310,2020-12-24 14:47:53,Suspeito,Vivian
150165156,5,São Paulo,São Paulo,2021-05-07 09:29:27.140,2021-05-07 13:32:28,Suspeito,Marcos
139984475,6,São José do Rio Pardo,São Paulo,2021-06-20 16:44:32.000,2021-06-21 16:42:06,Suspeito,Maria
160113269,4,Uberaba,Minas Gerais,2021-04-15 18:00:00.000,2021-04-26 09:32:38,Suspeito,Joao
141742950,4,Itararé,São Paulo,2021-01-22 12:55:30.297,2021-01-22 14:25:49,Suspeito,Marcos
42391002,8,Montes Claros,Minas Gerais,2021-01-23 09:58:52.660,2021-01-23 14:32:06,Suspeito,Marina
112533735,9,Campinas,São Paulo,2020-12-24 17:26:46.227,2020-12-25 10:56:56,Suspeito,Vivian
211609324,3,Americana,São Paulo,2021-01-18 15:05:41.143,2021-01-18 17:03:51,Suspeito,Marcos
48518329,5,Barretos,São Paulo,2021-01-23 18:00:00.000,2021-01-24 10:06:14,Suspeito,Marina
155576062,4,José Bonifácio,São Paulo,2021-05-03 10:16:19.590,2021-05-08 16:15:03,Suspeito,Joao
145822499,10,Lucas do Rio Verde,Mato Grosso,2021-06-20 18:00:00.000,2021-06-21 15:19:17,Suspeito,Maria
87578006,1,Lucas do Rio Verde,Mato Grosso,2021-06-20 16:41:55.927,2021-06-21 15:13:45,Suspeito,Maria
41983299,9,Sorocaba,São Paulo,2020-12-24 09:00:00.000,2020-12-24 14:51:27,Suspeito,Vivian
35479280,2,Itagimirim,Bahia,2020-12-25 13:46:13.343,2020-12-25 17:56:13,Suspeito,Marcos
