Código do Cliente,Tipo de Negócio,Cidade,Estado,Solicitacao de Cadastro,Data da Conclusão de analise do time B,Analista time B,StatusFinal
41585940,1,Fonte Boa,Amazonas,2020-12-20 18:00:00.000,,,EM FILA
91507664,6,Pelotas,Rio Grande do Sul,2021-01-23 18:00:00.000,,,EM FILA
222277883,9,São Paulo,São Paulo,2020-12-25 18:00:00.000,,,EM FILA
28384367,1,Cascavel,Paraná,2021-01-23 17:57:44.570,,,EM FILA
50270017,4,Águia Branca,Espírito Santo,2020-11-08 18:00:00.000,,,EM FILA
70895774,10,Fortaleza,Ceará,2021-01-07 18:00:00.000,,,EM FILA
45066530,5,Tailândia,Pará,2020-12-21 09:00:00.000,,,EM FILA
32081380,4,Parnamirim,Rio Grande do Norte,2021-01-03 09:00:00.000,,,EM FILA
25317650,6,São Paulo,São Paulo,2020-12-25 14:05:28.880,,,EM FILA
50520335,9,Fortaleza,Ceará,2021-07-11 17:16:17.280,,,EM FILA
39503054,5,Flores do Piauí,Piauí,2021-01-14 14:43:37.240,,,EM FILA
44675951,1,Santa Helena,Maranhão,2020-12-25 10:49:47.450,,,EM FILA
42245722,10,Nova Andradina,Mato Grosso do Sul,2021-01-21 09:00:00.000,,,EM FILA
43845530,7,Miraí,Minas Gerais,2021-07-08 18:00:00.000,,,EM FILA
233764659,3,Russas,Ceará,2021-01-17 09:00:10.327,,,EM FILA
36473243,9,Mantena,Minas Gerais,2021-01-11 10:27:23.230,,,EM FILA
119790821,4,Floresta do Araguaia,Pará,2020-12-20 10:51:21.310,,,EM FILA
150165156,4,São Paulo,São Paulo,2021-05-07 09:29:27.140,,,EM FILA
139984475,9,São José do Rio Pardo,São Paulo,2021-06-20 16:44:32.000,,,EM FILA
160113269,1,Uberaba,Minas Gerais,2021-04-15 18:00:00.000,,,EM FILA
141742950,5,Itararé,São Paulo,2021-01-22 12:55:30.297,,,EM FILA
42391002,2,Montes Claros,Minas Gerais,2021-01-23 09:58:52.660,,,EM FILA
112533735,10,Campinas,São Paulo,2020-12-24 17:26:46.227,,,EM FILA
211609324,4,Americana,São Paulo,2021-01-18 15:05:41.143,,,EM FILA
48518329,7,Barretos,São Paulo,2021-01-23 18:00:00.000,,,EM FILA
155576062,5,José Bonifácio,São Paulo,2021-05-03 10:16:19.590,,,EM FILA
145822499,5,Lucas do Rio Verde,Mato Grosso,2021-06-20 18:00:00.000,,,EM FILA
87578006,2,Lucas do Rio Verde,Mato Grosso,2021-06-20 16:41:55.927,,,EM FILA
41983299,6,Sorocaba,São Paulo,2020-12-24 09:00:00.000,,,EM FILA
35479280,2,Itagimirim,Bahia,2020-12-25 13:46:13.343,,,EM FILA
154361244,3,São Paulo,São Paulo,2020-12-25 13:36:23.260,,,EM FILA
25717769,5,Hortolândia,São Paulo,2021-01-22 16:52:34.703,,,EM FILA
37177679,8,Natal,Rio Grande do Norte,2021-07-18 15:47:57.933,,,EM FILA
38642598,6,Satubinha,Maranhão,2020-12-31 12:44:13.323,,,EM FILA
46607181,10,Rio Verde,Goiás,2020-12-26 18:00:00.000,,,EM FILA
40246914,3,São Paulo,São Paulo,2021-01-11 17:14:53.173,,,EM FILA
27784164,9,Manaus,Amazonas,2021-01-18 16:16:20.483,,,EM FILA
112824282,8,Volta Redonda,Rio de Janeiro,2021-01-22 13:00:19.767,,,EM FILA
43471627,5,Ceres,Goiás,2021-01-22 18:00:00.000,,,EM FILA
96920630,9,Vila Velha,Espírito Santo,2021-01-09 12:46:42.490,,,EM FILA
38771042,10,Barra do Corda,Maranhão,2020-12-20 18:00:00.000,,,EM FILA
41551948,10,Assis,São Paulo,2020-12-26 09:55:17.167,,,EM FILA
54122226,9,Franca,São Paulo,2021-01-21 09:00:00.000,,,EM FILA
30966500,1,Santa Cruz do Sul,Rio Grande do Sul,2021-01-14 16:06:08.427,,,EM FILA
34610741,2,Patos de Minas,Minas Gerais,2021-01-11 10:31:56.443,2021-01-11 18:00:00,Fernando,Aprovado
36232865,4,Belo Horizonte,Minas Gerais,2021-01-25 17:34:08.527,2021-01-28 16:56:49,Débora,Aprovado
40649555,1,Porto Real,Rio de Janeiro,2021-06-04 18:00:00.000,2021-06-05 17:31:03,Débora,Aprovado
88379510,2,Recife,Pernambuco,2020-12-10 17:32:59.460,2020-12-11 18:00:00,Débora,Aprovado
24667235,9,João Pessoa,Paraíba,2021-06-26 18:00:00.000,2021-06-28 10:36:47,Débora,Aprovado
33297531,6,São Pedro do Sul,Rio Grande do Sul,2021-01-11 18:00:00.000,2021-01-14 14:42:45,Fernando,Aprovado
34283530,4,Romaria,Minas Gerais,2021-02-14 13:53:50.800,2021-02-15 17:21:23,Débora,Aprovado
43372201,3,Jacupiranga,São Paulo,2020-12-07 11:07:30.063,2020-12-10 14:57:31,Débora,Aprovado
44706667,4,Lauro de Freitas,Bahia,2021-06-12 11:55:55.517,2021-06-13 15:28:35,Débora,Aprovado
47174537,3,Mossoró,Rio Grande do Norte,2020-11-22 10:16:37.023,2020-11-26 10:37:39,Débora,Aprovado
83071249,7,Rio de Janeiro,Rio de Janeiro,2021-07-01 18:00:00.000,2021-07-03 12:59:38,Débora,Aprovado
85590487,2,Contagem,Minas Gerais,2021-02-26 15:42:20.633,2021-02-27 14:33:58,Débora,Aprovado
