,id,age,gender,living_in_brasil,living_state,born_or_graduated,degreee_level,job_situation,workers_number,manager,salary_range,time_experience_data_science,time_experience_before,is_data_science_professional,linear_regression,logistic_regression,glms,decision_tree,random_forest,neural_networks,bayesian_inference,ensemble,svms,cnns,rnns,hmms,gans,markov_chains,nlp,gradient_boosted_machines,cluster_analysis,survival_analysis,longitudinal_data_analysis,joint analysis,no_listed_methods,sql_,r,python,c_c++_c#,dotnet,java,julia,sas_stata,visual_basic_vba,scala,matlab,php,no_listed_languages,most_used_proggraming_languages,sql,nosql,images,nlp,videos,sheets,other,sql,nosql,imagens,nlp,vídeos,planilhas,other,aws,gcp,azure,ibm,on_premise_servers,cloud_própria,other,mysql,oracle,sql_server,aurora,dynamodb,coachdb,cassandra,mongodb,mariadb,datomic,s3,postgresql,elaticsearch,db2,ms_access,sqlite,sybase,firebase,vertica,redis,neo4j,google_bigtable,hbase,other,microsoft_powerbi,qlik_view_qlik_sense,tableau,metabase,superset,redash,microstrategy,ibm_analytics_cognos,sap_business_objects,oracle_business_intelligence,birst,looker,google_data_studio,only_excel_gsheets,no_bi_tool_at_work,other,sql_&_stored_procedures,apache_airflow,luigi,aws_glue,talend,pentaho,alteryx,oracle_data_integrator,ibm_data_stage,sap_bw_etl,siss_sql_server_integration_services,other,have_data_warehouse,google_bigquery,aws_redshift,snowflake,oracle,postgres_mysql,ibm,teradata,microsoft_azure,do_not_know,other,data_hackers_blog,data_hackers_podcast,weekly_newsletter,slack_channel,data_hackers_bootcamp,do_not_know_data_hackers,prefered_data_hackers_initiative,telegram_groups,whatsapp_groups,youtube_channels,other_brasilian_blogs,other_slack_channels,twitter,abroad_blogs,abroad_podcasts,meetups_and_events,only_data_hackers,other,udacity,coursera,udemy,height,edx,data_camp,data_quest,kaggle_learn,online_courses,other,data_science_plataforms_preference,other,draw_participation,living_macroregion,origin_macroregion,anonymized_degree_area,anonymized_market_sector,anonymized_manager_level,anonymized_role
0,v9otv8j9wdvjrv9otvwnn9owhzq54ktv,37.0,Masculino,1,Minas Gerais (MG),1.0,Estudante de Graduação,Empregado (CTL),de 1 a 5,0.0,de R$ 1.001/mês a R$ 2.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ainda não conhecia o Data Hackers,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Nunca fiz cursos online,,1.0,Região Sudeste,,Computação / Engenharia de Software / Sistemas de Informação,Outras,,Outras
1,875ul998t0hqcv0871uptwf3oswcfv35,24.0,Feminino,1,São Paulo (SP),1.0,Estudante de Graduação,Empregado (CTL),Acima de 3000,0.0,de R$ 2.001/mês a R$ 3000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Python,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ainda não conhecia o Data Hackers,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,Data Science Academy,0.0,Região Sudeste,,Computação / Engenharia de Software / Sistemas de Informação,Educação,,Data Analyst/Analista de Dados
2,puscuk079vw1pusbb900pzw2xvpxtgdk,26.0,Masculino,1,São Paulo (SP),1.0,Graduação/Bacharelado,Empregado (CTL),Acima de 3000,0.0,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,de 6 a 10 anos,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Python,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Newsletter Semanal,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,Udemy,,1.0,Região Sudeste,,Outras Engenharias,Indústria (Manufatura),,Outras
3,rmel8ewqpbffp2mnfbzermel8eqincov,21.0,Masculino,1,São Paulo (SP),0.0,Estudante de Graduação,Estagiário,de 11 a 50,0.0,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,de 2 a 3 anos,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,SQL,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ainda não conhecia o Data Hackers,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,Alura,,1.0,Região Sudeste,Região Sudeste,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,,Business Intelligence/Analista de BI
4,pj9mgud4d6mdct1l7vq0pj9mgu78h6ju,27.0,Masculino,1,,1.0,Graduação/Bacharelado,Freelancer,de 6 a 10,1.0,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,de 4 a 5 anos,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,Python,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Blog/Medium do Data Hackers,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Udemy,,1.0,,,Computação / Engenharia de Software / Sistemas de Informação,Internet/Ecommerce,"C-level (CDO, CIO, CTO)",
5,cb7n2v7372y97wl1lcb7n2e8tpockl83,27.0,Masculino,1,Paraná (PR),1.0,Estudante de Graduação,Empregado (CTL),de 101 a 500,0.0,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,de 4 a 5 anos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Podcast do Data Hackers,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Udemy,,1.0,Região Sul,,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,,Outras
6,ayev5viaqe43pxxqqxayev5vtvdba619,34.0,Masculino,1,Rio Grande do Sul (RS),1.0,Pós-graduação,Empregado (CTL),de 51 a 100,1.0,de R$ 6.001/mês a R$ 8.000/mês,Não tenho experiência na área de dados,Menos de 1 ano,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,Java,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Podcast do Data Hackers,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Udemy,,1.0,Região Sul,,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Team Leader/Tech Leader,
7,se3czgy682ew760hzvhmvsse3czpwozo,37.0,Feminino,1,São Paulo (SP),0.0,Graduação/Bacharelado,Freelancer,de 11 a 50,1.0,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bootcamp do Data Hackers,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,,Digital House,1.0,Região Sudeste,Região Nordeste,Outras Engenharias,Outras,Coordenador,
8,h5zvhct1kbmbb49h5zgzb3c1ce6lnrl6,26.0,Masculino,1,,1.0,Estudante de Graduação,Estagiário,de 6 a 10,0.0,de R$ 2.001/mês a R$ 3000/mês,Não tenho experiência na área de dados,de 2 a 3 anos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Blog/Medium do Data Hackers,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Udemy,,0.0,,,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,,Desenvolvedor ou Engenheiro de Software
9,4t388yqrekd1gsq4t388b9gqkmt2z86x,28.0,Masculino,1,São Paulo (SP),1.0,Mestrado,Empregado (CTL),Acima de 3000,0.0,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,de 6 a 10 anos,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,R,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ainda não conhecia o Data Hackers,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Udemy,,1.0,Região Sudeste,,Computação / Engenharia de Software / Sistemas de Informação,Área da Saúde,,Data Scientist/Cientista de Dados
