,IDCliente,Produto Alacarte,Churn,NPS,Média desconto fatura 3M
0,1,Netflix,Não,Promotor,26.81
1,2,Globoplay,Não,Promotor,29.43
2,3,Disney,Sim,Neutro,24.47
3,4,Disney,Não,Promotor,24.88
4,5,Netflix,Não,Neutro,19.16
5,6,Disney,Sim,Promotor,29.34
6,7,Disney,Não,Promotor,27.78
7,8,MAX,Sim,Promotor,18.18
8,9,Globoplay,Não,Detrator,16.56
9,10,Prime,Não,Promotor,26.69
10,11,Disney,Sim,Neutro,24.81
11,12,Netflix,Não,Detrator,17.57
12,13,Globoplay,Não,Promotor,25.85
13,14,Disney,Sim,Promotor,25.62
14,15,Netflix,Não,Neutro,21.75
15,16,Disney,Sim,Promotor,29.96
16,17,MAX,Não,Detrator,14.52
17,18,MAX,Não,Promotor,18.19
18,19,Netflix,Não,Promotor,16.16
19,20,Globoplay,Não,Neutro,26.42
20,21,Netflix,Não,Promotor,27.7
21,22,Prime,Não,Promotor,29.94
22,23,Netflix,Sim,Neutro,15.43
23,24,MAX,Não,Detrator,21.78
24,25,Prime,Sim,Promotor,28.71
25,26,Netflix,Sim,Neutro,24.08
26,27,Globoplay,Sim,Detrator,24.42
27,28,Globoplay,Não,Promotor,16.28
28,29,Disney,Não,Neutro,27.17
29,30,Prime,Não,Neutro,10.34
30,31,Disney,Não,Detrator,12.82
31,32,MAX,Não,Detrator,11.56
32,33,MAX,Não,Detrator,18.46
33,34,MAX,Não,Neutro,22.55
34,35,Netflix,Não,Promotor,10.73
35,36,Prime,Sim,Detrator,27.41
36,37,MAX,Não,Detrator,11.03
37,38,Prime,Não,Neutro,25.36
38,39,Netflix,Sim,Detrator,22.42
39,40,Netflix,Sim,Promotor,10.54
40,41,Globoplay,Não,Detrator,11.79
41,42,Disney,Sim,Neutro,10.51
42,43,Globoplay,Não,Detrator,10.11
43,44,Disney,Não,Promotor,27.48
44,45,Prime,Sim,Promotor,10.71
45,46,Prime,Não,Promotor,10.68
46,47,Globoplay,Sim,Detrator,13.14
47,48,Disney,Sim,Promotor,15.48
48,49,MAX,Não,Promotor,24.13
49,50,Disney,Não,Promotor,29.84
50,51,Disney,Não,Promotor,29.69
51,52,Netflix,Não,Promotor,25.24
52,53,Netflix,Não,Detrator,10.32
53,54,Prime,Não,Promotor,26.96
54,55,Globoplay,Sim,Promotor,28.18
55,56,Prime,Não,Promotor,11.09
56,57,Prime,Sim,Promotor,22.03
57,58,Globoplay,Sim,Promotor,12.58
58,59,Globoplay,Sim,Promotor,16.66
59,60,Netflix,Sim,Neutro,13.84
60,61,Netflix,Não,Detrator,27.72
61,62,Netflix,Não,Detrator,28.26
62,63,Globoplay,Sim,Promotor,28.81
63,64,MAX,Não,Detrator,20.57
64,65,Disney,Sim,Promotor,16.99
65,66,MAX,Não,Neutro,12.41
66,67,MAX,Não,Detrator,17.8
67,68,Prime,Não,Promotor,23.85
68,69,Prime,Não,Neutro,12.41
69,70,Netflix,Não,Promotor,19.98
70,71,Netflix,Não,Neutro,22.25
71,72,Prime,Não,Detrator,16.59
72,73,Netflix,Não,Detrator,28.57
73,74,Prime,Não,Promotor,10.07
74,75,MAX,Não,Detrator,26.46
75,76,Globoplay,Não,Promotor,27.92
