nome,idade,naturalidade,equipe,pais,rank
JOSE CARLOS PACE,78,SAO PAULO,WILLYS,BRASIL,13.0
EMERSON FITTIPALDI,76,SAO PAULO,LOTUS,BRASIL,12.0
NELSON PIQUET,70,RIO DE JANEIRO,ENSIGN,BRASIL,11.0
NIGEL MANSELL,69,UPTON-UPON-SEVERN,LOTUS,INGLATERRA,10.0
AYRTON SENNA,62,SAO PAULO,TOLEMAN,BRASIL,9.0
MICHAEL SCHUMACHER,53,HURTH,JORDAN,ALEMANHA,8.0
JOS VERSTAPPEN,50,MONTFORT,BENNETTON,HOLANDA,7.0
RUBENS BARRICHELLO,50,SAO PAULO,JORDAN,BRASIL,6.0
JENSON BUTTON,42,FROME,WILLIAMS,INGLATERRA,5.0
NICO ROSBERG,37,WIESBADEN,WILLIAMS,ALEMANHA,4.0
LEWIS HAMILTON,37,STEVENAGE,MCLAREN,INGLATERRA,3.0
SEBASTIAN VETTEL,35,HEPPENHEIN,SAUBER,ALEMANHA,2.0
MAX VERSTAPPEN,25,HASSELT,TORO ROSSO,BELGICA,1.0
