nome,idade,naturalidade,equipe,pais,salario,bonus,ranking
JOSE CARLOS PACE,78,SAO PAULO,WILLYS,BRASIL,390000,39000.0,1.0
EMERSON FITTIPALDI,76,SAO PAULO,LOTUS,BRASIL,380000,38000.0,2.0
NELSON PIQUET,70,RIO DE JANEIRO,ENSIGN,BRASIL,350000,35000.0,3.0
NIGEL MANSELL,69,UPTON-UPON-SEVERN,LOTUS,INGLATERRA,276000,19320.000000000004,4.0
AYRTON SENNA,62,SAO PAULO,TOLEMAN,BRASIL,310000,31000.0,5.0
MICHAEL SCHUMACHER,53,HURTH,JORDAN,ALEMANHA,212000,14840.000000000002,6.0
JOS VERSTAPPEN,50,MONTFORT,BENNETTON,HOLANDA,250000,17500.0,7.0
RUBENS BARRICHELLO,50,SAO PAULO,JORDAN,BRASIL,250000,17500.0,8.0
JENSON BUTTON,42,FROME,WILLIAMS,INGLATERRA,210000,14700.000000000002,9.0
NICO ROSBERG,37,WIESBADEN,WILLIAMS,ALEMANHA,148000,7400.0,10.0
LEWIS HAMILTON,37,STEVENAGE,MCLAREN,INGLATERRA,148000,7400.0,11.0
SEBASTIAN VETTEL,35,HEPPENHEIN,SAUBER,ALEMANHA,140000,7000.0,12.0
MAX VERSTAPPEN,25,HASSELT,TORO ROSSO,BELGICA,100000,5000.0,13.0
